t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
365,80159.25057,RogueTrees,45;0;6;0.0545;0.4,80159.25057,400750.0725,,
365,80159.25057,RogueTrees,45;0;9;0.0545;0.4,80159.25057,328000.2782,,
365,80143.85711,RogueTrees,45;0;3;0.0545;0.2,80143.85711,256699.6039,,
365,80143.85711,RogueTrees,45;0;6;0.0545;0.2,80143.85711,186863.4431,,
365,80143.85711,RogueTrees,45;0;9;0.0545;0.2,80143.85711,113954.5336,,
365,9080.820649,SprayTreesOTC,0.7;0.246;0.21;0.245,9080.820649,294593.7362,,
365,9250.49554,SprayTreesOTC,0.8;0.246;0.21;0.245,9250.49554,298400.5205,,
730,166778.0049,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.9;0.246,78634.62994,364082.8954,,
730,167550.7749,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.9;0.246,79407.39994,349634.7433,,
730,168323.5449,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.9;0.246,80180.16994,314033.3311,,
730,169280.9466,SprayTrees,0.9;0.246,81159.41713,307366.3379,,
730,149624.6743,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.8;0.246,62511.63782,278672.4288,,
730,150462.0943,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.8;0.246,63349.05782,261993.3387,,
730,151299.5143,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.8;0.246,64186.47782,242506.8374,,
730,152356.4565,SprayTrees,0.8;0.246,65234.15007,225725.0397,,
730,129564.5007,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.7;0.246,43805.98769,223194.876,,
730,130577.7807,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.7;0.246,44819.26769,225275.3648,,
730,131591.0607,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.7;0.246,45832.54769,253811.8349,,
730,129560.3479,RogueTrees-SprayTrees,105;0;9;0.0545;0.4;0.7;0.246,43862.55648,281781.545,,
730,130572.3079,RogueTrees-SprayTrees,105;0;6;0.0545;0.4;0.7;0.246,44874.51648,312167.7663,,
730,131584.2679,RogueTrees-SprayTrees,105;0;3;0.0545;0.4;0.7;0.246,45886.47648,288829.7517,,
730,132574.5494,SprayTrees,0.7;0.246,46876.45865,237248.9643,,
730,87708.34171,RogueTrees,135;0;9;0.0545;0.4,7409.456291,42520.75417,,
730,89157.46171,RogueTrees,135;0;6;0.0545;0.4,8858.576291,45296.50553,,
730,90606.58171,RogueTrees,135;0;3;0.0545;0.4,10307.69629,43571.6548,,
